actor_name,tier
Sandrine Holt,1
Henry Czerny,1
Amy Irving,1
Tom Cullen,1
Greg Germann,1
Jenny Agutter,1
Charlotte Sullivan,1
Kelly Lynch,1
Julie Kavner,1
Lois Smith,1
Linnea Quigley,1
Anthony Edwards,1
Dyan Cannon,1
Kevin Chamberlin,1
Seth Gilliam,1
Giancarlo Giannini,1
Jane Adams,1
Mike Tyson,1
Rita Moreno,1
Caleb Landry Jones,1
Adam LeFevre,1
Lionel Barrymore,1
Troy Evans,1
Jimmy Shergill,1
Katie Aselton,1
Brighton Sharbino,1
Andrew Keegan,1
Michael Smiley,1
Martin Henderson,1
Elaine Stritch,1
Megalyn Echikunwoke,1
Michael Emerson,1
Clifton Powell,1
Courtney B. Vance,1
Louise Fletcher,1
Anika Noni Rose,1
Donald Glover,1
Finn Wittrock,1
Stuart Wilson,1
Ni Yan,1
Eric Lloyd,1
Royal Dano,1
